number,proType,Price_k,Land_size,bedroom,income_md,sch_rank,Time_train,shopping_center,Lat,Lng
1,House,385,505,4,515,486,26,2096,-37.768015,144.758322
2,House,500,464,4,420,525,29,2419,-37.883433,144.784844
3,House,560,140,3,743,124,26,2403,-37.723774,144.92596
4,House,692,0.1,2,549,319,19,2475,-37.839179,144.882301
5,House,465,353,4,619,525,29,1014,-37.874655,144.769509
6,House,650,168,4,336,394,31,879,-37.920825,145.11862
7,House,736,256,3,563,319,19,1869,-37.83954,144.862825
8,House,820,694,3,731,311,45,750,-37.990149,145.075784
9,House,755,362,3,553,153,26,1089,-37.794007,145.158688
10,House,990,340,4,704,600,28,3864,-37.907269,145.025386
11,House,650,170,3,410,394,31,1213,-37.92416,145.114975
12,House,455,539,3,503,525,29,302,-37.877219,144.761866
13,House,407,443,4,405,344,38,2294,-37.981291,145.150275
14,House,480,139,3,874,600,29,744,-37.892241,144.76061
15,House,660,98,3,782,319,19,2578,-37.845015,144.867274
16,House,655,75,3,782,319,19,2578,-37.845015,144.867274
17,House,690,1041,3,577,153,26,978,-37.787594,145.160174
18,House,1120,325,3,775,251,25,199,-37.857741,144.899594
19,House,610,549,3,361,245,28,1585,-37.874316,145.09545
20,House,755,362,3,553,153,26,1089,-37.794007,145.158688
21,House,990,340,4,704,600,28,3864,-37.907269,145.025386
22,House,650,170,3,410,394,31,1213,-37.92416,145.114975
23,House,455,539,3,503,525,29,302,-37.877219,144.761866
24,House,407,443,4,405,344,38,2294,-37.981291,145.150275
25,House,480,139,3,874,600,29,744,-37.892241,144.76061
26,House,660,98,3,782,319,19,2578,-37.845015,144.867274
27,House,655,75,3,782,319,19,2578,-37.845015,144.867274
28,House,690,1041,3,577,153,26,978,-37.787594,145.160174
29,House,1120,325,3,775,251,25,199,-37.857741,144.899594
30,House,610,549,3,361,245,28,1585,-37.874316,145.09545